Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
644,355,1,2900
331,257,1,1600
608,272,16,1700
805,885,5,4100
852,994,142,4300
291,228,3,1600
633,370,1,2000
368,8,8,400
400,638,2,2500
944,466,2,2300
291,337,1,1600
397,282,1,1600
705,770,5,3500
336,132,12,1300
70,4,2,300
410,229,1,1300
441,350,7,2100
788,271,1,1400
187,396,11,1300
420,754,2,2800
308,286,22,1700
568,331,1,1800
296,568,8,1800
464,777,1,2400
738,610,2,3200
439,765,1,2300
744,512,8,2600
466,122,2,900
935,444,1,2500
677,46,1,500
768,794,2,3900
266,271,1,5000
235,373,1,1400
419,225,1,1500
411,280,1,1900
594,47,1,500
35,760,5,600
343,377,1,1900
375,496,1,2000
66,797,1,900
414,149,1,1000
897,968,1,4100
198,11,11,500
652,350,2,2100
256,7,1,500
943,945,1,4600
997,367,1,1700
488,847,1,2500
458,478,2,2400
945,455,35,2500
72,741,3,900
144,581,1,1200
616,462,154,2700
806,748,2,3800
141,834,3,1000
325,411,1,1800
49,647,1,800
174,539,1,1100
525,874,1,2800
561,104,1,900
755,619,1,2900
77,494,1,600
726,241,1,1300
403,773,1,2100
157,859,1,1000
822,480,6,3000
427,505,1,2100
470,275,5,1500
643,434,1,2400
350,388,2,2100
490,15,5,500
674,372,2,2100
277,792,1,1500
93,893,1,700
61,821,1,500
154,389,1,1200
64,40,8,800
225,844,1,1400
82,457,1,900
620,971,1,3300
620,234,2,1600
242,685,1,1400
587,821,1,2800
628,458,2,2300
788,154,2,1100
407,962,37,2400
319,149,1,900
737,607,1,2900
577,872,1,2700
215,542,1,1300
535,557,1,2700
278,624,2,1600
895,862,1,4300
801,475,1,2500
121,968,121,1200
707,70,7,800
215,461,1,1400
901,174,1,1300
433,849,1,2200
490,634,2,2700
803,96,1,1000
376,461,1,3100
379,798,1,1900
722,149,1,1100
206,543,1,1200
604,488,4,3400
138,232,2,1300
903,95,1,900
737,277,1,1500
726,357,3,2000
900,709,1,3100
816,577,1,2800
622,690,2,3000
999,73,1,600
699,734,1,3600
351,178,1,1300
449,867,1,2100
163,366,1,1000
654,737,1,3200
189,974,1,1400
266,221,1,1400
60,984,12,1000
454,983,1,2400
347,802,1,1800
157,773,1,900
120,248,8,1300
794,831,1,3700
914,634,2,3100
66,675,3,800
167,73,1,600
587,66,1,700
324,643,1,2100
566,138,2,1000
406,949,1,2300
289,261,1,1600
353,929,1,1800
871,994,1,4200
887,849,1,3900
764,627,1,3000
819,314,1,1700
268,975,1,1600
143,164,1,1300
947,168,1,1400
163,561,1,1000
83,767,1,600
