Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
644,355,1,600
331,257,1,400
608,272,16,200
805,885,5,300
852,994,142,300
291,228,3,300
633,370,1,200
368,8,8,200
400,638,2,500
944,466,2,200
291,337,1,300
397,282,1,300
705,770,5,300
336,132,12,300
70,4,2,200
410,229,1,200
441,350,7,200
788,271,1,200
187,396,11,200
420,754,2,300
308,286,22,200
568,331,1,300
296,568,8,300
464,777,1,300
738,610,2,300
439,765,1,300
744,512,8,300
466,122,2,300
935,444,1,300
677,46,1,300
768,794,2,300
266,271,1,300
235,373,1,400
419,225,1,300
411,280,1,900
594,47,1,200
35,760,5,400
343,377,1,300
375,496,1,300
66,797,1,500
414,149,1,200
897,968,1,300
198,11,11,300
652,350,2,200
256,7,1,200
943,945,1,200
997,367,1,300
488,847,1,300
458,478,2,300
945,455,35,200
72,741,3,200
144,581,1,200
616,462,154,200
806,748,2,200
141,834,3,300
325,411,1,300
49,647,1,400
174,539,1,200
525,874,1,300
561,104,1,300
755,619,1,400
77,494,1,300
726,241,1,400
403,773,1,200
157,859,1,200
822,480,6,300
427,505,1,300
470,275,5,200
643,434,1,300
350,388,2,200
490,15,5,200
674,372,2,300
277,792,1,300
93,893,1,200
61,821,1,200
154,389,1,200
64,40,8,200
225,844,1,300
82,457,1,200
620,971,1,300
620,234,2,200
242,685,1,200
587,821,1,300
628,458,2,300
788,154,2,200
407,962,37,300
319,149,1,300
737,607,1,400
577,872,1,800
215,542,1,200
535,557,1,300
278,624,2,200
895,862,1,200
801,475,1,300
121,968,121,300
707,70,7,200
215,461,1,300
901,174,1,300
433,849,1,200
490,634,2,200
803,96,1,200
376,461,1,300
379,798,1,400
722,149,1,300
206,543,1,900
604,488,4,200
138,232,2,200
903,95,1,300
737,277,1,400
726,357,3,200
900,709,1,300
816,577,1,200
622,690,2,200
999,73,1,200
699,734,1,300
351,178,1,200
449,867,1,200
163,366,1,300
654,737,1,400
189,974,1,300
266,221,1,400
60,984,12,300
454,983,1,200
347,802,1,200
157,773,1,400
120,248,8,400
794,831,1,300
914,634,2,700
66,675,3,300
167,73,1,200
587,66,1,400
324,643,1,300
566,138,2,200
406,949,1,300
289,261,1,300
353,929,1,300
871,994,1,300
887,849,1,200
764,627,1,300
819,314,1,300
268,975,1,300
143,164,1,300
947,168,1,200
163,561,1,300
83,767,1,300
846,348,6,300
225,422,1,300
177,684,3,300
304,951,1,300
250,737,1,200
355,276,1,300
15,503,1,300
213,711,3,300
357,152,1,300
579,730,1,200
343,679,7,300
492,801,3,300
154,914,2,200
896,303,1,200
537,783,3,300
751,382,1,300
212,99,1,300
435,827,1,400
262,902,2,300
825,641,1,300
807,51,3,300
620,973,1,300
863,359,1,400
27,354,3,200
781,992,1,300
499,6,1,300
135,512,1,400
799,540,1,300
787,561,1,300
336,500,4,200
437,668,1,300
232,536,8,200
641,85,1,300
667,752,1,300
819,769,1,300
672,144,48,300
693,698,1,400
244,992,4,200
169,802,1,200
593,740,1,300
904,255,1,300
357,453,3,300
459,142,1,200
701,777,1,200
408,963,3,200
963,6,3,200
542,455,1,300
693,77,77,200
780,787,1,200
369,652,1,300
976,164,4,200
862,996,2,300
260,583,1,300
388,421,1,200
629,239,1,300
39,750,3,200
742,549,1,300
680,985,5,200
234,768,6,300
788,230,2,200
122,229,1,300
561,751,1,200
494,560,2,200
919,685,1,200
15,244,1,200
611,433,1,200
676,607,1,300
26,565,1,300
899,26,1,200
299,796,1,15400
755,559,1,200
502,862,2,400
47,579,1,200
620,497,1,300
269,231,1,200
198,917,1,300
768,497,1,300
683,646,1,300
980,737,1,200
932,640,4,400
1000,521,1,600
163,446,1,200
752,795,1,700
572,283,1,300
667,746,1,400
226,405,1,300
714,986,34,200
428,390,2,300
843,769,1,200
562,565,1,400
420,778,2,300
379,452,1,600
692,695,1,200
736,587,1,300
343,447,1,600
607,286,1,300
56,937,1,200
256,795,1,400
924,528,132,400
220,950,10,200
660,111,3,200
576,448,64,300
491,919,1,600
348,477,3,400
353,334,1,300
280,517,1,300
967,834,1,300
321,285,3,300
972,7,1,200
593,615,1,500
280,797,1,200
125,335,5,200
79,605,1,300
515,496,1,400
32,781,1,200
467,662,1,300
710,122,2,300
685,109,1,500
494,630,2,300
331,866,1,400
306,515,1,300
17,361,1,200
542,159,1,300
562,463,1,300
193,640,1,400
821,288,1,300
607,761,1,300
680,796,4,200
164,125,1,500
723,549,3,300
731,171,1,300
424,652,4,300
384,963,3,300
49,556,1,200
947,337,1,300
995,135,5,300
702,575,1,300
170,321,1,200
896,456,8,300
717,98,1,300
676,594,2,200
148,615,1,500
259,723,1,300
311,275,1,200
913,424,1,200
664,938,2,300
335,489,1,400
979,446,1,200
756,913,1,300
861,638,1,300
497,589,1,300
499,923,1,300
973,35,7,300
69,605,1,200
135,837,27,200
947,902,1,400
474,126,6,600
462,284,2,400
526,244,2,200
834,749,1,200
660,918,6,400
978,559,1,200
274,632,2,400
29,174,29,200
632,973,1,600
776,417,1,300
610,653,1,200
852,470,2,500
359,975,1,300
737,869,11,300
481,520,13,200
723,187,1,300
382,748,2,600
348,504,12,200
582,220,2,600
914,491,1,300
246,281,1,300
538,292,2,300
333,672,3,300
85,794,1,400
789,703,1,400
306,174,6,300
404,894,2,300
69,616,1,300
531,962,1,300
591,449,1,300
815,662,1,300
293,561,1,500
694,299,1,200
853,625,1,500
724,258,2,200
454,603,1,300
479,743,1,300
375,1,1,200
184,320,8,200
203,868,7,400
275,917,1,200
964,638,2,300
816,859,1,300
14,33,1,300
971,124,1,300
277,433,1,300
832,298,2,200
753,1000,1,200
444,572,4,200
417,753,3,200
600,71,1,300
974,327,1,200
671,560,1,200
682,230,2,200
850,929,1,300
984,786,6,200
874,690,46,300
653,287,1,300
206,730,2,300
