Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
644,355,1,600
331,257,1,300
608,272,16,300
805,885,5,300
852,994,142,200
291,228,3,300
633,370,1,300
368,8,8,200
400,638,2,400
944,466,2,300
291,337,1,300
397,282,1,300
705,770,5,200
336,132,12,200
70,4,2,300
410,229,1,300
441,350,7,300
788,271,1,300
187,396,11,200
420,754,2,300
308,286,22,200
568,331,1,200
296,568,8,300
464,777,1,300
738,610,2,300
439,765,1,300
744,512,8,200
466,122,2,300
935,444,1,300
677,46,1,300
768,794,2,300
266,271,1,200
235,373,1,300
419,225,1,400
411,280,1,300
594,47,1,200
35,760,5,300
343,377,1,300
375,496,1,200
66,797,1,200
414,149,1,300
897,968,1,200
198,11,11,200
652,350,2,300
256,7,1,300
943,945,1,200
997,367,1,300
488,847,1,400
458,478,2,200
945,455,35,300
72,741,3,300
144,581,1,200
616,462,154,200
806,748,2,300
141,834,3,300
325,411,1,300
49,647,1,300
174,539,1,200
525,874,1,300
561,104,1,400
755,619,1,300
77,494,1,400
726,241,1,300
403,773,1,300
157,859,1,300
822,480,6,300
427,505,1,200
470,275,5,300
643,434,1,200
350,388,2,200
490,15,5,200
674,372,2,300
277,792,1,300
93,893,1,300
61,821,1,200
154,389,1,200
64,40,8,300
225,844,1,200
82,457,1,300
620,971,1,300
620,234,2,300
242,685,1,300
587,821,1,300
628,458,2,300
788,154,2,400
407,962,37,200
319,149,1,300
737,607,1,300
577,872,1,300
215,542,1,200
535,557,1,400
278,624,2,300
895,862,1,300
801,475,1,300
121,968,121,200
707,70,7,300
215,461,1,400
901,174,1,400
433,849,1,300
490,634,2,300
803,96,1,300
376,461,1,400
379,798,1,400
722,149,1,300
206,543,1,300
604,488,4,700
138,232,2,400
903,95,1,400
737,277,1,300
726,357,3,300
900,709,1,300
816,577,1,400
622,690,2,300
999,73,1,300
699,734,1,400
351,178,1,300
449,867,1,200
163,366,1,300
654,737,1,200
189,974,1,300
266,221,1,400
60,984,12,400
454,983,1,200
347,802,1,200
157,773,1,500
120,248,8,300
794,831,1,300
914,634,2,500
66,675,3,400
167,73,1,300
587,66,1,400
324,643,1,200
566,138,2,300
406,949,1,400
289,261,1,300
353,929,1,1000
871,994,1,600
887,849,1,300
764,627,1,500
819,314,1,300
268,975,1,400
143,164,1,300
947,168,1,400
163,561,1,300
83,767,1,400
846,348,6,400
225,422,1,300
177,684,3,300
304,951,1,300
250,737,1,500
355,276,1,300
15,503,1,200
213,711,3,400
357,152,1,300
579,730,1,400
343,679,7,300
492,801,3,300
154,914,2,200
896,303,1,300
537,783,3,200
751,382,1,300
212,99,1,500
435,827,1,300
262,902,2,300
825,641,1,500
