Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
976,786,2,3219
607,928,1,2963
382,854,2,1453
622,907,1,2793
43,694,1,321
454,474,2,1694
835,78,1,664
928,111,1,608
629,530,1,1973
78,435,3,514
348,580,116,993
940,864,4,3532
354,819,3,1406
329,259,7,990
863,264,1,1393
490,838,2,2036
49,97,1,335
765,782,17,2805
950,739,1,2624
40,344,8,334
432,493,1,1981
817,619,1,2128
922,97,1,462
729,550,1,2166
626,159,1,615
985,973,1,2911
738,276,6,1029
188,444,4,705
447,868,1,1372
702,661,1,1881
131,192,1,485
850,531,1,1690
640,967,1,2194
312,941,1,1289
705,351,3,1232
285,488,1,1026
196,453,1,795
106,117,1,441
549,187,1,656
667,526,1,1561
345,3,3,89
499,434,1,1375
278,38,2,226
229,76,1,386
906,931,1,2775
736,36,4,254
474,586,2,1487
567,113,1,383
552,230,46,612
53,608,1,251
581,689,1,1696
95,776,1,408
494,553,1,1569
892,394,2,1173
91,910,91,89
920,435,5,1378
912,418,38,1139
220,542,2,895
455,449,1,1270
617,712,1,1762
731,705,1,2166
748,204,68,481
642,666,6,1895
668,545,1,1627
247,720,1,813
152,827,1,640
761,246,1,879
954,254,2,787
150,198,6,656
647,240,1,1157
107,566,1,419
674,371,1,1181
335,246,1,873
912,142,2,480
46,880,2,236
853,776,1,2388
936,952,8,2965
331,577,1,1069
969,998,1,2962
121,216,1,460
717,272,1,963
394,829,1,1211
870,348,174,558
434,19,1,138
545,81,1,360
259,3,1,86
998,284,2,953
373,685,1,1118
881,636,1,2025
826,926,2,2583
516,30,6,192
53,803,1,249
982,383,1,1158
380,950,190,648
380,852,4,1268
517,449,1,1374
476,911,1,1584
277,345,1,849
610,711,1,1829
715,154,11,583
143,325,13,465
508,492,4,1576
609,881,1,1863
176,489,1,739
516,353,1,1022
767,383,1,1145
383,819,1,1149
186,364,2,710
202,917,1,716
665,933,1,2029
120,182,2,672
381,595,1,1142
444,10,2,143
291,53,1,256
720,6,6,79
558,214,2,767
330,65,5,302
705,290,5,965
297,233,1,789
131,165,1,522
585,897,39,1637
899,967,1,2682
67,436,1,284
682,620,62,1721
704,347,1,1128
553,824,1,1647
880,933,1,2838
418,675,1,1339
294,709,1,1122
727,13,1,142
66,636,6,330
578,747,1,1717
52,635,1,296
37,701,1,208
867,167,1,577
865,803,1,2382
415,115,5,420
770,833,7,2332
551,803,1,1648
453,606,3,1339
149,357,1,492
429,380,1,1378
641,199,1,679
54,935,1,350
907,132,1,657
299,324,1,943
119,877,1,489
70,171,1,427
511,106,1,410
223,729,1,673
624,439,1,1302
531,390,3,1475
553,652,1,1632
223,455,1,689
455,27,1,229
61,955,1,275
383,841,1,1107
687,23,1,163
39,92,1,251
957,945,3,2906
576,608,32,1742
620,694,2,1939
484,690,2,1498
216,346,2,904
147,438,3,559
74,123,1,332
876,956,4,2617
512,781,1,1583
960,86,2,376
235,414,1,778
464,647,1,1454
720,846,18,2409
488,406,2,1275
221,526,1,791
850,529,1,1693
823,425,1,1332
136,442,34,434
118,619,1,477
483,334,1,1079
316,630,2,1002
123,741,3,432
752,999,1,2178
49,615,1,256
779,8,1,149
701,365,1,1081
773,164,1,640
12,492,12,82
362,851,1,1103
250,582,2,858
728,99,1,495
462,550,22,1482
523,598,1,1580
344,640,8,1144
568,826,2,1750
325,884,13,946
455,448,7,1494
976,558,2,1780
798,24,6,191
173,928,1,579
31,873,1,170
292,803,73,711
388,655,1,1278
295,749,1,928
857,896,1,2316
682,585,1,1934
994,144,2,755
486,868,2,1606
741,829,1,2291
507,660,3,1491
655,184,1,706
895,461,1,1361
983,871,1,2637
19,780,1,168
894,191,1,636
707,277,1,900
415,350,5,1245
