Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
976,786,2,353
607,928,1,248
382,854,2,235
622,907,1,190
43,694,1,159
454,474,2,215
835,78,1,247
928,111,1,180
629,530,1,198
78,435,3,183
348,580,116,152
940,864,4,221
354,819,3,180
329,259,7,199
863,264,1,235
490,838,2,243
49,97,1,163
765,782,17,172
950,739,1,161
40,344,8,174
432,493,1,180
817,619,1,176
922,97,1,176
729,550,1,154
626,159,1,190
985,973,1,146
738,276,6,165
188,444,4,175
447,868,1,227
702,661,1,167
131,192,1,190
850,531,1,194
640,967,1,247
312,941,1,183
705,351,3,151
285,488,1,226
196,453,1,205
106,117,1,162
549,187,1,219
667,526,1,229
345,3,3,142
499,434,1,180
278,38,2,159
229,76,1,145
906,931,1,176
736,36,4,153
474,586,2,186
567,113,1,154
552,230,46,168
53,608,1,161
581,689,1,254
95,776,1,224
494,553,1,190
892,394,2,207
91,910,91,143
920,435,5,139
912,418,38,113
220,542,2,154
455,449,1,116
617,712,1,125
731,705,1,118
748,204,68,96
642,666,6,104
668,545,1,117
247,720,1,116
152,827,1,156
761,246,1,116
954,254,2,108
150,198,6,104
647,240,1,116
107,566,1,133
674,371,1,101
335,246,1,99
912,142,2,125
46,880,2,110
853,776,1,108
936,952,8,105
331,577,1,122
969,998,1,119
121,216,1,126
717,272,1,130
394,829,1,135
870,348,174,78
434,19,1,96
545,81,1,98
259,3,1,80
998,284,2,107
373,685,1,118
881,636,1,123
826,926,2,123
516,30,6,83
53,803,1,117
982,383,1,113
380,950,190,89
380,852,4,117
517,449,1,123
476,911,1,151
277,345,1,123
610,711,1,110
715,154,11,115
143,325,13,98
508,492,4,99
609,881,1,130
176,489,1,124
516,353,1,110
767,383,1,83
383,819,1,107
186,364,2,108
202,917,1,143
665,933,1,115
120,182,2,105
381,595,1,139
444,10,2,99
291,53,1,89
720,6,6,72
558,214,2,151
330,65,5,94
705,290,5,95
297,233,1,168
131,165,1,114
585,897,39,99
899,967,1,111
67,436,1,97
682,620,62,83
704,347,1,104
553,824,1,137
880,933,1,106
418,675,1,127
294,709,1,103
727,13,1,100
66,636,6,107
578,747,1,134
52,635,1,112
37,701,1,99
867,167,1,116
865,803,1,127
415,115,5,124
770,833,7,99
551,803,1,127
453,606,3,105
149,357,1,115
429,380,1,117
641,199,1,124
54,935,1,104
907,132,1,111
299,324,1,110
119,877,1,126
70,171,1,107
511,106,1,146
223,729,1,120
624,439,1,133
531,390,3,114
553,652,1,117
223,455,1,103
455,27,1,115
61,955,1,111
383,841,1,112
687,23,1,116
39,92,1,102
957,945,3,108
576,608,32,84
620,694,2,125
484,690,2,100
216,346,2,98
147,438,3,98
74,123,1,113
876,956,4,98
512,781,1,107
960,86,2,101
235,414,1,105
464,647,1,123
720,846,18,103
488,406,2,101
221,526,1,115
850,529,1,172
823,425,1,128
136,442,34,77
118,619,1,108
483,334,1,115
316,630,2,88
123,741,3,84
752,999,1,106
49,615,1,114
779,8,1,106
701,365,1,149
773,164,1,102
12,492,12,75
362,851,1,117
250,582,2,97
728,99,1,124
462,550,22,91
523,598,1,105
344,640,8,98
568,826,2,90
325,884,13,123
455,448,7,94
976,558,2,116
798,24,6,94
173,928,1,109
31,873,1,88
292,803,73,91
388,655,1,105
295,749,1,130
857,896,1,95
682,585,1,110
994,144,2,105
486,868,2,116
741,829,1,128
507,660,3,107
655,184,1,142
895,461,1,115
983,871,1,129
19,780,1,86
894,191,1,132
707,277,1,141
415,350,5,112
79,802,1,121
357,725,1,107
903,213,3,113
620,584,4,97
149,965,1,96
79,635,1,87
832,171,1,108
463,691,1,109
831,469,1,140
874,725,1,122
930,856,2,114
947,948,1,87
987,841,1,136
490,45,5,91
117,904,1,122
394,547,1,149
57,102,3,113
272,959,1,128
315,243,9,101
895,463,1,112
208,973,1,131
449,391,1,127
144,912,48,87
81,326,1,85
380,306,2,114
402,661,1,139
161,349,1,104
960,499,1,116
541,449,1,104
543,9,3,79
704,289,1,105
555,761,1,141
390,178,2,93
71,56,1,110
421,965,1,112
871,980,1,103
290,319,29,86
370,785,5,99
230,451,1,119
110,962,2,115
756,863,1,103
974,269,1,145
211,934,1,111
119,103,1,115
734,662,2,105
111,438,3,104
950,18,2,106
550,691,1,105
547,620,1,107
747,319,1,137
937,617,1,122
298,226,2,97
935,20,5,85
362,517,1,105
822,823,1,90
830,577,1,122
685,803,1,126
197,248,1,120
88,316,4,105
350,822,2,116
329,813,1,105
611,630,1,97
182,160,2,103
320,728,8,114
779,66,1,106
47,67,1,105
682,696,2,102
292,969,1,88
715,653,1,113
485,536,1,87
827,314,1,136
465,512,1,122
468,13,13,85
111,556,1,90
680,812,4,149
729,8,1,91
624,339,3,127
989,157,1,114
498,309,3,123
885,628,1,109
726,283,1,110
695,760,5,117
978,338,2,108
728,45,1,113
343,212,1,185
580,169,1,112
877,44,1,106
680,344,8,99
409,142,1,110
251,88,1,111
954,979,1,111
96,929,1,99
317,436,1,106
86,166,2,104
744,322,2,112
794,470,2,122
956,488,4,105
229,933,1,104
825,308,11,96
977,519,1,107
519,909,3,104
688,747,1,116
304,719,1,131
442,712,2,136
861,693,21,87
800,814,2,87
23,247,1,111
94,340,2,124
682,179,1,122
857,778,1,112
852,650,2,123
599,807,1,122
489,179,1,122
92,666,2,106
486,420,6,107
184,356,4,103
328,871,1,128
102,984,6,113
942,895,1,101
47,802,1,105
587,198,1,105
967,610,1,147
444,60,12,87
301,478,1,115
591,157,1,105
607,794,1,115
159,205,1,116
601,647,1,104
383,44,1,123
312,220,4,121
463,848,1,124
575,143,1,96
70,28,14,79
126,11,1,95
922,172,2,107
164,861,41,90
370,482,2,113
822,165,3,88
894,122,2,90
994,484,2,128
630,600,30,110
629,788,1,124
156,229,1,113
787,890,1,154
272,450,2,128
109,87,1,98
297,35,1,96
229,367,1,138
62,706,2,122
729,336,3,105
877,893,1,114
548,598,2,105
726,369,3,115
763,619,1,128
842,756,2,108
454,471,1,122
708,83,1,113
611,863,1,120
663,397,1,114
753,287,1,125
846,213,3,94
373,495,1,111
248,953,1,122
213,661,1,112
658,941,1,111
348,534,6,120
185,895,5,104
132,911,1,100
615,246,123,89
881,456,1,116
353,335,1,129
279,412,1,112
417,889,1,124
275,79,1,119
637,379,1,134
365,834,1,113
591,89,1,122
328,838,2,103
41,540,1,99
851,698,1,112
833,198,1,121
584,17,1,106
93,67,1,130
279,707,1,125
312,160,8,89
515,16,1,86
494,145,1,120
428,262,2,124
33,54,3,115
340,21,1,96
432,57,3,99
854,374,2,96
497,182,7,98
564,538,2,102
721,414,1,169
235,905,5,124
963,170,1,104
922,55,1,105
236,552,4,96
114,899,1,118
63,980,7,105
915,908,1,100
124,694,2,115
169,508,1,90
747,861,3,106
528,530,2,90
269,733,1,155
903,765,3,121
914,818,2,112
302,987,1,136
231,889,7,122
891,194,1,114
410,164,82,82
600,646,2,87
68,65,1,93
544,130,2,104
396,810,18,88
390,519,3,87
503,558,1,111
26,601,1,103
770,905,5,177
130,38,2,120
638,385,11,118
155,903,1,115
202,808,202,84
241,785,1,108
696,132,12,104
330,458,2,123
647,281,1,124
103,714,1,122
346,998,2,123
196,741,1,122
808,585,1,158
612,662,2,95
494,637,13,106
263,264,1,84
894,744,6,93
653,883,1,143
480,807,3,114
785,34,1,98
615,26,1,106
170,662,2,106
509,499,1,103
119,155,1,111
779,573,1,156
221,476,17,88
571,768,1,132
217,730,1,100
704,828,4,103
391,197,1,115
816,5,1,90
812,61,1,105
101,465,1,115
943,580,1,125
623,728,7,111
965,237,1,106
105,134,1,132
251,613,1,108
632,369,1,130
119,411,1,103
294,691,1,107
238,864,2,136
810,454,2,148
593,513,1,131
633,983,1,122
62,801,1,104
340,873,1,114
861,440,1,118
689,804,1,95
371,312,1,104
883,336,1,125
900,987,3,103
469,150,1,117
951,101,1,116
871,421,1,113
863,164,1,127
112,100,4,88
379,921,1,113
906,971,1,111
786,890,2,116
305,847,1,121
690,644,46,90
71,551,1,112
83,760,1,122
706,454,2,115
423,588,3,122
141,322,1,116
926,609,1,137
824,876,4,106
61,46,1,99
296,275,1,100
209,759,11,101
727,587,1,108
32,632,8,85
909,817,1,129
521,213,1,121
15,211,1,77
209,85,1,110
113,643,1,113
196,818,2,102
96,618,6,97
405,588,3,121
292,330,2,106
197,467,1,113
557,257,1,107
512,204,4,106
532,72,4,113
963,258,3,119
10,994,2,99
241,918,1,111
162,113,1,123
482,176,2,109
323,690,1,113
612,787,1,102
333,808,1,116
604,780,4,102
777,360,3,105
368,420,4,89
41,916,1,101
886,597,1,120
172,749,1,110
153,55,1,124
172,115,1,99
664,181,1,105
460,904,4,102
450,621,9,104
17,284,1,104
148,691,1,93
325,759,1,113
478,9,1,88
918,433,1,134
789,47,1,123
793,508,1,139
466,833,1,140
775,704,1,121
782,946,2,113
804,934,2,114
353,976,1,97
48,16,16,81
508,859,1,105
272,310,2,98
831,640,1,131
593,978,1,144
330,269,1,127
88,159,1,111
278,358,2,105
592,418,2,115
404,384,4,99
277,221,1,115
568,51,1,106
276,349,1,140
348,80,4,95
282,700,2,109
407,681,1,133
68,266,2,106
891,691,1,115
575,721,1,121
330,519,3,116
50,11,1,106
788,490,2,131
170,65,5,125
847,113,1,89
834,602,2,127
848,110,2,112
822,415,1,104
160,98,2,128
116,507,1,108
529,749,1,141
559,935,1,123
782,626,2,124
552,672,24,116
316,479,1,114
745,997,1,107
997,794,1,112
