Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
976,786,2,391
607,928,1,260
382,854,2,273
622,907,1,217
43,694,1,155
454,474,2,202
835,78,1,239
928,111,1,239
629,530,1,304
78,435,3,238
348,580,116,204
940,864,4,212
354,819,3,247
329,259,7,226
863,264,1,339
490,838,2,258
49,97,1,195
765,782,17,133
950,739,1,137
40,344,8,123
432,493,1,139
817,619,1,191
922,97,1,135
729,550,1,169
626,159,1,171
985,973,1,142
738,276,6,149
188,444,4,189
447,868,1,160
702,661,1,156
131,192,1,162
850,531,1,148
640,967,1,150
312,941,1,151
705,351,3,114
285,488,1,174
196,453,1,214
106,117,1,207
549,187,1,224
667,526,1,268
345,3,3,173
499,434,1,256
278,38,2,220
229,76,1,206
906,931,1,155
736,36,4,159
474,586,2,156
567,113,1,157
552,230,46,142
53,608,1,255
581,689,1,268
95,776,1,174
494,553,1,186
892,394,2,256
91,910,91,177
920,435,5,227
912,418,38,181
220,542,2,249
455,449,1,167
617,712,1,195
731,705,1,172
748,204,68,153
642,666,6,203
668,545,1,207
247,720,1,269
152,827,1,245
761,246,1,226
954,254,2,225
150,198,6,170
647,240,1,202
107,566,1,240
674,371,1,186
335,246,1,197
912,142,2,215
46,880,2,186
853,776,1,159
936,952,8,138
331,577,1,240
969,998,1,162
121,216,1,225
717,272,1,234
394,829,1,244
870,348,174,168
434,19,1,244
545,81,1,213
259,3,1,157
998,284,2,189
373,685,1,250
881,636,1,287
826,926,2,264
516,30,6,126
53,803,1,191
982,383,1,261
380,950,190,149
380,852,4,219
517,449,1,225
476,911,1,243
277,345,1,195
610,711,1,138
715,154,11,184
143,325,13,137
508,492,4,204
609,881,1,263
176,489,1,252
516,353,1,213
767,383,1,165
383,819,1,234
186,364,2,182
202,917,1,298
665,933,1,200
120,182,2,191
381,595,1,263
444,10,2,195
291,53,1,214
720,6,6,170
558,214,2,251
330,65,5,183
705,290,5,215
297,233,1,286
131,165,1,230
585,897,39,150
899,967,1,178
67,436,1,139
682,620,62,115
704,347,1,208
553,824,1,160
880,933,1,138
418,675,1,181
294,709,1,205
727,13,1,107
66,636,6,137
578,747,1,207
52,635,1,167
37,701,1,130
867,167,1,182
865,803,1,151
415,115,5,145
770,833,7,142
551,803,1,173
453,606,3,124
149,357,1,156
429,380,1,127
641,199,1,180
54,935,1,174
907,132,1,157
299,324,1,117
119,877,1,199
70,171,1,161
511,106,1,202
223,729,1,178
624,439,1,188
531,390,3,172
553,652,1,192
223,455,1,152
455,27,1,165
61,955,1,172
383,841,1,196
687,23,1,135
39,92,1,156
957,945,3,117
576,608,32,131
620,694,2,153
484,690,2,176
216,346,2,110
147,438,3,115
74,123,1,105
876,956,4,117
512,781,1,145
960,86,2,121
235,414,1,166
464,647,1,152
720,846,18,138
488,406,2,149
221,526,1,199
850,529,1,214
823,425,1,193
136,442,34,109
118,619,1,149
483,334,1,204
316,630,2,102
123,741,3,100
752,999,1,167
49,615,1,162
779,8,1,146
701,365,1,157
773,164,1,176
12,492,12,87
362,851,1,194
250,582,2,137
728,99,1,152
462,550,22,109
523,598,1,136
344,640,8,121
568,826,2,126
325,884,13,162
455,448,7,98
976,558,2,126
798,24,6,97
173,928,1,145
31,873,1,98
292,803,73,125
388,655,1,160
295,749,1,175
857,896,1,97
682,585,1,130
994,144,2,187
486,868,2,157
741,829,1,168
507,660,3,153
655,184,1,181
895,461,1,148
983,871,1,161
19,780,1,110
894,191,1,181
707,277,1,194
415,350,5,144
79,802,1,160
357,725,1,151
903,213,3,139
620,584,4,137
149,965,1,170
79,635,1,120
832,171,1,167
463,691,1,222
831,469,1,192
874,725,1,189
930,856,2,135
947,948,1,97
987,841,1,162
490,45,5,109
117,904,1,200
394,547,1,211
57,102,3,166
272,959,1,216
315,243,9,151
895,463,1,142
208,973,1,167
449,391,1,142
144,912,48,106
81,326,1,116
380,306,2,141
402,661,1,202
161,349,1,124
960,499,1,135
541,449,1,161
543,9,3,94
704,289,1,191
555,761,1,217
390,178,2,172
71,56,1,148
421,965,1,202
871,980,1,104
290,319,29,101
370,785,5,131
230,451,1,152
110,962,2,147
756,863,1,244
974,269,1,188
211,934,1,196
119,103,1,153
734,662,2,137
111,438,3,151
950,18,2,135
550,691,1,157
547,620,1,127
747,319,1,199
937,617,1,127
298,226,2,116
935,20,5,116
362,517,1,136
822,823,1,92
830,577,1,167
685,803,1,191
197,248,1,164
88,316,4,145
350,822,2,192
329,813,1,151
611,630,1,108
182,160,2,152
320,728,8,139
779,66,1,141
47,67,1,138
682,696,2,125
292,969,1,176
715,653,1,169
485,536,1,124
827,314,1,238
465,512,1,145
468,13,13,97
111,556,1,102
680,812,4,141
729,8,1,120
624,339,3,151
989,157,1,169
498,309,3,172
885,628,1,164
726,283,1,173
695,760,5,150
978,338,2,201
728,45,1,129
343,212,1,238
580,169,1,177
877,44,1,123
680,344,8,117
409,142,1,164
251,88,1,138
954,979,1,118
96,929,1,169
317,436,1,133
86,166,2,126
744,322,2,171
794,470,2,190
956,488,4,133
229,933,1,175
825,308,11,124
977,519,1,114
519,909,3,114
688,747,1,171
304,719,1,210
442,712,2,149
861,693,21,120
800,814,2,99
23,247,1,142
94,340,2,185
682,179,1,184
857,778,1,189
852,650,2,193
599,807,1,158
489,179,1,167
92,666,2,154
486,420,6,139
184,356,4,130
328,871,1,206
102,984,6,132
942,895,1,93
47,802,1,141
587,198,1,165
967,610,1,239
444,60,12,152
301,478,1,161
591,157,1,175
607,794,1,137
159,205,1,158
601,647,1,134
383,44,1,162
312,220,4,160
463,848,1,158
575,143,1,127
70,28,14,101
126,11,1,136
922,172,2,180
164,861,41,107
370,482,2,164
822,165,3,122
894,122,2,111
994,484,2,168
630,600,30,86
629,788,1,170
156,229,1,159
787,890,1,175
272,450,2,145
109,87,1,126
297,35,1,122
229,367,1,146
62,706,2,154
729,336,3,161
877,893,1,142
548,598,2,105
726,369,3,123
763,619,1,142
842,756,2,142
454,471,1,140
708,83,1,167
611,863,1,150
663,397,1,132
753,287,1,176
846,213,3,117
373,495,1,180
248,953,1,221
213,661,1,160
658,941,1,118
